Time,Sea surface temperature
4-10 Sep 2018,27.84973
11-17 Sep 2018,27.40137
18-24 Sep 2018,27.25041
25 Sep 2018 - 1 Oct 2018,27.68175
2-8 Oct 2018,28.26196
9-15 Oct 2018,28.35586
16-22 Oct 2018,28.29922
23-29 Oct 2018,28.76577
30 Oct 2018 - 5 Nov 2018,29.17393
6-12 Nov 2018,29.6469
13-19 Nov 2018,29.17333
20-26 Nov 2018,28.88768
27 Nov 2018 - 3 Dec 2018,29.14506
4-10 Dec 2018,29.16294
11-17 Dec 2018,29.32896
18-24 Dec 2018,29.21146
25-31 Dec 2018,28.77732
1-7 Jan 2019,28.78613
8-14 Jan 2019,29.40378
15-21 Jan 2019,28.77232
22-28 Jan 2019,28.88372
